Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
 2018-03-15,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMF,Agency 30 Year Fixed,,Offline,30.0,Fixed,4.490%,4.5660%,200000,20%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,15YMF,Agency 15 Year Fixed,,Offline,15.0,Fixed,3.800%,3.9300%,200000,20%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMF,Jumbo 30 Year Fixed,,Offline,30.0,Fixed,4.675%,4.7228%,500000,25%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMV,Agency 30 Year 5/1 ARM,,Offline,30.0,Variable,3.990%,4.6349%,200000,20%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMV,Agency 30 Year 7/1 ARM,,Offline,30.0,Variable,3.900%,4.4890%,200000,20%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Year Fixed,,Offline,30.0,Fixed,4.250%,5.3372%,200000,4%,660,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Year Fixed,,Offline,30.0,Fixed,4.250%,4.5063%,200000,0%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Year Fixed,,Offline,15.0,Fixed,4.375%,4.8129%,200000,0%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMV,VA 30 Year 5/1 ARM,,Offline,30.0,Variable,5.250%,4.9421%,200000,0%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,30YMF,30-Year Fixed Rate,,Offline,30.0,Fixed,4.500%,4.580%,"$200,000",25.0%,740,New Purchase,Primary Residence,Principal + Interest
